MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YJKM182Z,,,,,,QTY,575,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"트윌
LINING
몸판전체",575,BL,,,,,,"44""",정요척,0.68,Y,391,,,Y,2026-07-04 00:00:00,391,Y,0,,,,,성 보,,,인천선적,
,0,0,,,,,,,정요척,0.68,Y,0,,,Y,,,Y,0,,,,,,,,,
"스트레치
LINING
소매",575,BL,,,,,,"48""",정요척,0.51,Y,293.25,,,Y,,294,Y,0.75,,,,,성 보,,,,
,0,0,,,,,,,정요척,0.51,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-250)
몸판용",575,BL,,,,,,"58""",정요척,1.35,Y,776.25,,,Y,,,Y,-776.25,,,,,다경섬유,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-475)
",575,BL,,,,,,"58""",정요척,1.13,Y,649.7499999999999,,,Y,2026-07-04 00:00:00,650,R,0.2500000000001137,,,,,다경섬유,,,인천선적,
,0,0,,,,,,,정요척,1.13,Y,0,,,Y,,,R,0,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE
",575,BL,,,,,,10MM,,1.6,Y,9.2,,,Y,2026-07-04 00:00:00,9,R,-0.1999999999999993,,,,,다 남,,,인천선적,
,0,0,,,,,,,,1.6,Y,0,,,Y,,,R,0,,,,,,,,,
"실크 다데테이프
EDEG TAPE
카라,밴드,네크,앞마이,어깨, 앞밑단",575,BL,,,,,,10MM,,6,Y,69,,,Y,,70,R,1,,,,,다 남,,,,
,0,0,,,,,,,,6,Y,0,,,Y,,,R,0,,,,,,,,,
"패드
PAD
H-180",575,BL,,,,,,4MM,,1,SET,11.5,,,Y,2026-07-04 00:00:00,575,R,563.5,,,,,신승이앤티,,,인천선적,
,0,0,,,,,,,,1,SET,0,,,Y,,,R,0,,,,,,,,,
"솜마꾸라지
PAD",575,BL,,,,,,,,1,SET,11.5,,,,2026-07-04 00:00:00,575,,563.5,,,,,신승이앤티,,,인천선적,
,0,0,,,,,,,,1,SET,0,,,,,,,0,,,,,,,,,
"본봉사
코아사
45S/2H               THREAD",575,BL,,,BL,,,2500M,,230,M,52.9,,,C,2026-07-04 00:00:00,56,C,3.1000000000000014,,,,,다 남,,,인천선적,
,0,0,,,0,,,,,230,M,0,,,C,,,C,0,,,,,,,,,
"오바사
60S/3H               THREAD",575,BL,,,BL,,,4000M,,470,M,67.5625,,,C,,67,C,-0.5625,,,,,다 남,,,,
,0,0,,,0,,,,,470,M,0,,,C,,,C,0,,,,,,,,,
QQ사             THREAD,575,BL,,,BL,,,4000M,,10,M,1.4375,,,C,,1,C,-0.4375,,,,,다 남,,,,
,0,0,,,0,,,,,10,M,0,,,C,,,C,0,,,,,,,,,
"본봉사(배색)
45S/3H               THREAD",575,BL,,,BL,,,500M,,15,M,17.25,,,C,,,C,-17.25,,,,,다 남,,,,
,0,0,,,0,,,,,15,M,0,,,C,,,C,0,,,,,,,,,
"싸개PAD
(MK-1)",575,BL,,,,,,4MM,,1,SET,575,,,SET,,,SET,-575,,,,,신승이앤티,,,,
,0,0,,,,,,,,1,SET,0,,,SET,,,SET,0,,,,,,,,,
"단 추
(앞여밈)
BUTTON",575,BL,,,도금,,,23MM,,2,EA,1150,,,EA,,,EA,-1150,,,,,보타니,,,,
,0,0,,,도금,,,,,2,EA,0,,,EA,,,EA,0,,,,,,,,,
"단추
(아웃포켓)
BUTTON",575,BL,,,,,,21MM,,2,Y,1150,,,,,,,-1150,,,,,보타니,,,,
,0,0,,,,,,,,2,Y,0,,,,,,,0,,,,,,,,,
"단 추
(소매-장식)
TAP DECORATION",575,BL,,,,,,20Ф,,0.9,EA,517.5,,,EA,,,EA,-517.5,,,,,보타니,,,,
,0,0,,,,,,,,0.9,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨
알파카
켈렉션라벨(BL)",275,,,,,,,,,1,EA,275,,,EA,2026-07-04 00:00:00,275,EA,0,,,,,본 사,,,인천선적,
,240,,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,,,,,
,60,,,,,,,,,1,EA,60,,,EA,,60,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어
MDM-13",275,BL,,,,,,,,1,EA,275,,,EA,2026-07-04 00:00:00,275,EA,0,,,,,본 사,,,인천선적,
,240,,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,,,,,
,60,,,,,,,,,1,EA,60,,,EA,,60,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,본 사,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),275,BL,,,,,,,,1,EA,275,,,EA,,,EA,-275,,,,,대화라벨,,,,
,240,,,,,,,,,1,EA,240,,,EA,,,EA,-240,,,,,,,,,
,60,,,,,,,,,1,EA,60,,,EA,,,EA,-60,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",275,FREE,,,,,,,,1,EA,275,,,EA,2026-07-04 00:00:00,,EA,-275,,,,,다 남,,,인천선적,
,240,,,,,,,,,1,EA,240,,,EA,,,EA,-240,,,,,,,,,
,60,,,,,,,,,1,EA,60,,,EA,,,EA,-60,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",575,FREE,,,,,,,,1,EA,575,,,EA,2026-07-04 00:00:00,575,EA,0,,,,,본 사,,,인천선적,
"이미지택
IMAGE TAG",575,FREE,,,,,,,,1,EA,575,,,EA,,575,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),575,FREE,,,,,,,,1,EA,575,,,EA,,575,EA,0,,,,,본 사,,,,
