MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM106Z,,,,,,QTY,1351,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,320,,,,,,,,,1,EA,320,,,EA,,,EA,-320,,,,,,,,,
,91,,,,,,,,,1,EA,91,,,EA,,,EA,-91,,,,,,,,,
,260,BK,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,310,,,,,,,,,1,EA,310,,,EA,,310,EA,0,,,,,,,,,
,100,,,,,,,,,1,EA,100,,,EA,,100,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",270,GR,,,,,,,,1,EA,270,,,EA,,,EA,-270,,,,,대화라벨,,,,
,320,,,,,,,,,1,EA,320,,,EA,,,EA,-320,,,,,,,,,
,91,,,,,,,,,1,EA,91,,,EA,,,EA,-91,,,,,,,,,
,260,BK,,,,,,,,1,EA,260,,,EA,,,EA,-260,,,,,,,,,
,310,,,,,,,,,1,EA,310,,,EA,,,EA,-310,,,,,,,,,
,100,,,,,,,,,1,EA,100,,,EA,,,EA,-100,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",530,FREE,,,,,,,,1,EA,530,,,EA,2026-07-04 00:00:00,530,EA,0,,,,,다 남,,,인천선적,
,630,,,,,,,,,1,EA,630,,,EA,,630,EA,0,,,,,,,,,
,191,,,,,,,,,1,EA,191,,,EA,,191,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1351,FREE,,,,,,,,1,EA,1351,,,EA,2026-07-04 00:00:00,670,EA,-681,,,,,본 사,,,"인천선적, BK만 수령",
품질보증택,1351,FREE,,,,,,,,1,EA,1351,,,EA,2026-07-04 00:00:00,670,EA,-681,,,,,,,,"인천선적, BK만 수령",
"POLY BAG
폴리백(LOCAL)",1351,FREE,,,,,,46*120,,1,EA,1351,,,EA,2026-07-04 00:00:00,670,EA,-681,,,,,,,,인천선적,
