MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB65SLP102Z,,,,,,QTY,948,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,380,,,,,,,,,1,EA,380,,,EA,,380,EA,0,,,,,,,,,
,158,,,,,,,,,1,EA,158,,,EA,,158,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",410,FREE,,,,,,,,1,EA,410,,,EA,2025-10-29 00:00:00,410,EA,0,,,,,다 남,,,10/29 Ship Send,
,380,,,,,,,,,1,EA,380,,,EA,,380,EA,0,,,,,,,,,
,158,,,,,,,,,1,EA,158,,,EA,,158,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",948,FREE,,,,,,,,1,EA,948,,,EA,2025-10-29 00:00:00,948,EA,0,,,,,본 사,,,10/29 Ship Send,
품질보증택,948,FREE,,,,,,,,1,EA,948,,,EA,,948,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),948,FREE,,,,,,,,1,EA,948,,,EA,,950,EA,2,,,,,본 사,,,,
