MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SLM107A,,,,,,QTY,1245,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(코메즈중간직)",622,DE,,,,,,55MM,,,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,623,BK,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",622,DE,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,623,BK,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",533,,,,,,,,,1,EA,533,,,EA,2026-03-20 00:00:00,533,EA,0,,,,,본 사,,,3/20 Ship Send,
,557,,,,,,,,,1,EA,557,,,EA,,557,EA,0,,,,,,,,,
,155,,,,,,,,,1,EA,155,,,EA,,155,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",270,DE,,,,,,,,1,EA,270,,,EA,2026-03-20 00:00:00,270,EA,0,,,,,본 사,,,3/20 Ship Send,
,277,,,,,,,,,1,EA,277,,,EA,,277,EA,0,,,,,,,,,
,75,,,,,,,,,1,EA,75,,,EA,,75,EA,0,,,,,,,,,
,263,BK,,,,,,,,1,EA,263,,,EA,,263,EA,0,,,,,,,,,
,280,,,,,,,,,1,EA,280,,,EA,,280,EA,0,,,,,,,,,
,80,,,,,,,,,1,EA,80,,,EA,,80,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",270,DE,,,,,,,,1,EA,270,,,EA,2026-05-12 00:00:00,270,EA,0,,,,,대화라벨,,,5/12 H/Carry Send,
,277,,,,,,,,,1,EA,277,,,EA,,277,EA,0,,,,,,,,,
,75,,,,,,,,,1,EA,75,,,EA,,75,EA,0,,,,,,,,,
,263,BK,,,,,,,,1,EA,263,,,EA,,263,EA,0,,,,,,,,,
,280,,,,,,,,,1,EA,280,,,EA,,280,EA,0,,,,,,,,,
,80,,,,,,,,,1,EA,80,,,EA,,80,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",533,FREE,,,,,,,,1,EA,533,,,EA,2026-03-20 00:00:00,533,EA,0,,,,,다 남,,,,
,557,,,,,,,,,1,EA,557,,,EA,,557,EA,0,,,,,,,,,
,155,,,,,,,,,1,EA,155,,,EA,,155,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1245,FREE,,,,,,,,1,EA,1245,,,EA,2026-03-20 00:00:00,1245,EA,0,,,,,본 사,,,3/20 Ship Send,
품질보증택,1245,FREE,,,,,,,,1,EA,1245,,,EA,,1245,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1245,FREE,,,,,,46*120,,1,EA,1245,,,EA,,1300,EA,55,,,,,,,,,
