MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLM124Z,,,,,,QTY,1407,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,280,,,,,,,,,1,EA,280,,,EA,,280,EA,0,,,,,,,,,
,100,,,,,,,,,1,EA,100,,,EA,,100,EA,0,,,,,,,,,
,340,IV,,,,,,,,1,EA,340,,,EA,,340,EA,0,,,,,,,,,
,280,,,,,,,,,1,EA,280,,,EA,,280,EA,0,,,,,,,,,
,90,,,,,,,,,1,EA,90,,,EA,,90,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",657,FREE,,,,,,,,1,EA,657,,,EA,2025-12-05 00:00:00,657,EA,0,,,,,다 남,,,12/05 Ship Send,
,560,,,,,,,,,1,EA,560,,,EA,,560,EA,0,,,,,,,,,
,190,,,,,,,,,1,EA,190,,,EA,,190,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1407,FREE,,,,,,,,1,EA,1407,,,EA,2025-12-05 00:00:00,1407,EA,0,,,,,본 사,,,12/05 Ship Send,
품질보증택,1407,FREE,,,,,,,,1,EA,1407,,,EA,,1407,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1407,FREE,,,,,,46*120,,1,EA,1407,,,EA,,1407,EA,0,,,,,,,,,
