MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SKM101Z,,,,,,QTY,600,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,대화라벨,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",250,FREE,,,,,,,,1,EA,250,,,EA,2025-12-05 00:00:00,250,EA,0,,,,,다 남,,,12/05 Ship Send,
,270,,,,,,,,,1,EA,270,,,EA,,270,EA,0,,,,,,,,,
,80,,,,,,,,,1,EA,80,,,EA,,80,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",600,FREE,,,,,,,,1,EA,600,,,EA,2025-12-05 00:00:00,600,EA,0,,,,,본 사,,,12/05 Ship Send,
품질보증택,600,FREE,,,,,,,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
POLY BAG              폴리백(LOCAL),600,FREE,,,,,,46*120,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
