MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLM123Z,,,,,,QTY,1207,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",280,BK,,,,,,,,1,EA,280,,,EA,2026-01-23 00:00:00,280,EA,0,,,,,대화라벨,,,1/23 Ship Send,
,290,,,,,,,,,1,EA,290,,,EA,,290,EA,0,,,,,,,,,
,134,,,,,,,,,1,EA,134,,,EA,,134,EA,0,,,,,,,,,
,223,,,,,,,,,1,EA,223,,,EA,,223,EA,0,,,,,,,,,
,230,,,,,,,,,1,EA,230,,,EA,,230,EA,0,,,,,,,,,
,50,,,,,,,,,1,EA,50,,,EA,,50,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",503,FREE,,,,,,,,1,EA,503,,,EA,2025-12-05 00:00:00,503,EA,0,,,,,다 남,,,12/05 Ship Send,
,520,,,,,,,,,1,EA,520,,,EA,,520,EA,0,,,,,,,,,
,184,,,,,,,,,1,EA,184,,,EA,,,EA,-184,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1207,FREE,,,,,,,,1,EA,1207,,,EA,2025-12-05 00:00:00,1207,EA,0,,,,,본 사,,,12/05 Ship Send,
품질보증택,1207,FREE,,,,,,,,1,EA,1207,,,EA,,1207,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1207,FREE,,,,,,46*120,,1,EA,1207,,,EA,,1207,EA,0,,,,,,,,,
