MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB66SLM127Z,,,,,,QTY,1346,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,781,BK,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"다후다
LINING
해리,주머니감",565,KH,,,,,,"44""",정요척,0.26,Y,146.9,,,Y,2026-01-23 00:00:00,147,Y,0.09999999999999432,,,,,성 보,,,1/23 Ship Send,
,781,BK,,,,,,,정요척,0.26,Y,203.06,,,Y,,204,Y,0.9399999999999977,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"스트레치
LINING
해리,주머니감",565,KH,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,성 보,,,,
,781,BK,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-250)",565,KH,,,,,,"58""",정요척,0.1,Y,56.5,,,Y,2026-01-23 00:00:00,57,Y,0.5,,,,,다경섬유,,,1/23 Ship Send,
,781,BK,,,,,,,정요척,0.1,Y,78.10000000000001,,,Y,,78,Y,-0.10000000000000853,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-252)",565,KH,,,,,,"44""",정요척,0.1,Y,56.5,,,Y,2026-01-23 00:00:00,57,Y,0.5,,,,,다경섬유,,,,
,781,BK,,,,,,,정요척,0.1,Y,78.10000000000001,,,Y,,78,Y,-0.10000000000000853,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",565,KH,,,,,,8MM,,,Y,0,,,Y,,,R,0,,,,,다 남,,,,
,781,BK,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"(면) 다데테이프
EDEG TAPE",565,KH,,,,,,10MM,,2.4,Y,27.12,,,Y,2026-01-23 00:00:00,28,R,0.879999999999999,,,,,다 남,,,1/23 Ship Send,
,781,BK,,,,,,,,2.4,Y,37.488,,,Y,,38,R,0.5120000000000005,,,,,,,,,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"비바테이프
EDEG TAPE",565,KH,,,,,,10MM,,,Y,0,,,Y,,,R,0,,,,,다 남,,,,
,781,BK,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
,0,0,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"본봉사
코아사
45S/2H
THREAD",565,KH,,,KH,,,2500M,,130,M,29.38,,,C,2026-01-23 00:00:00,30,C,0.620000000000001,,,,,다 남,,,1/23 Ship Send,
,781,BK,,,BK,,,,,130,M,40.612,,,C,,41,C,0.3879999999999981,,,,,,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
"오바사
60S/3H
THREAD",565,KH,,,KH,,,4000M,,220,M,31.075,,,C,,32,C,0.9250000000000007,,,,,다 남,,,,
,781,BK,,,BK,,,,,220,M,42.955,,,C,,43,C,0.045000000000001705,,,,,,,,,
,0,0,,,0,,,,,,M,0,,,C,,,C,0,,,,,,,,,
"스쿠이사
THREAD
지누이도",565,KH,,,KH,,,4000M,,10,M,1.4125,,,C,,2,C,0.5874999999999999,,,,,다 남,,,,
,781,BK,,,BK,,,,,10,M,1.9525,,,C,,2,C,0.0475000000000001,,,,,,,,,
,0,0,,,BK,,,,,,M,0,,,C,,,C,0,,,,,,,,,
오버장식,565,KH,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,한일,,,,
,781,BK,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
"양면 지퍼
ZIPPER",565,KH,,,,,,"""",,1,EA,565,,,EA,2026-01-23 00:00:00,565,EA,0,,,,,다 남,,,1/23 Ship Send,
,781,BK,,,,,,,,1,EA,781,,,EA,,781,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"이단마이깡
HOOK",565,KH,,,,,,,,1,SET,565,,,SET,,565,SET,0,,,,,다 남,,,,
,781,BK,,,,,,,,1,SET,781,,,SET,,781,SET,0,,,,,,,,,
,0,0,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
겉단추,565,KH,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,781,BK,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,21MM,,,EA,0,,,EA,,,EA,0,,,,,,,,,
속단추,565,KH,,,,,,18MM,,1,EA,565,,,EA,2026-01-23 00:00:00,565,EA,0,,,,,보타니,,,1/23 Ship Send,
,781,BK,,,,,,,,1,EA,781,,,EA,,781,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"E-BAND
(헤링본밴드)",565,KH,,,,,,40MM,,0.5,YD,282.5,,,EA,2026-01-23 00:00:00,300,YD,17.5,,,,,하나,,,1/23 Ship Send,
,781,BK,,,,,,,,0.5,YD,390.5,,,EA,,400,YD,9.5,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,YD,0,,,,,,,,,
"E-BAND
(코메즈중간직)",565,KH,,,,,,55MM,,,YD,0,,,EA,,,EA,0,,,,,하나,,,,
,781,BK,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,YD,0,,,EA,,,EA,0,,,,,,,,,
"단 추
후다, 뒤트임",565,KH,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,781,BK,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",560,,,,,,,,,1,EA,560,,,EA,2026-01-23 00:00:00,560,EA,0,,,,,본 사,,,1/23 Ship Send,
,600,,,,,,,,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
,186,,,,,,,,,1,EA,186,,,EA,,186,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",240,KH,,,,,,,,1,EA,240,,,EA,2026-01-23 00:00:00,240,EA,0,,,,,본 사,,,1/23 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,75,,,,,,,,,1,EA,75,,,EA,,75,EA,0,,,,,,,,,
,320,BK,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,350,,,,,,,,,1,EA,350,,,EA,,350,EA,0,,,,,,,,,
,111,,,,,,,,,1,EA,111,,,EA,,111,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",240,KH,,,,,,,,1,EA,240,,,EA,2026-01-23 00:00:00,240,EA,0,,,,,대화라벨,,,1/23 Ship Send,
,250,,,,,,,,,1,EA,250,,,EA,,250,EA,0,,,,,,,,,
,75,,,,,,,,,1,EA,75,,,EA,,75,EA,0,,,,,,,,,
,320,BK,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,350,,,,,,,,,1,EA,350,,,EA,,350,EA,0,,,,,,,,,
,111,,,,,,,,,1,EA,111,,,EA,,111,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",560,FREE,,,,,,,,1,EA,560,,,EA,2026-01-23 00:00:00,560,EA,0,,,,,다 남,,,1/23 Ship Send,
,600,,,,,,,,,1,EA,600,,,EA,,600,EA,0,,,,,,,,,
,186,,,,,,,,,1,EA,186,,,EA,,186,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1346,FREE,,,,,,,,1,EA,1346,,,EA,2026-01-23 00:00:00,1346,EA,0,,,,,본 사,,,1/23 Ship Send,
품질보증택,1346,FREE,,,,,,,,1,EA,1346,,,EA,,1346,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1346,FREE,,,,,,46*120,,1,EA,1346,,,EA,,1350,EA,4,,,,,,,,,
