MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SKM103Z,,,,,,QTY,928,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
WH,,150,150.0,42.0,,,국내,342,,,,,,,,,,,,,,,,,,,,
BK,,240,260.0,86.0,,,,586,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-11-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,390,410.0,128.0,0,0.0,,928,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-03-11 00:00:00,,,
라벨발주 1.02%,,397.8,418.2,130.56,0,0.0,,946.5600000000001,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
,240,BK,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,본 사,,,12/05 Ship Send,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,86,,,,,,,,,1,EA,86,,,EA,,86,EA,0,,,,,,,,,
,,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),150,WH,,,,,,,,1,EA,150,,,EA,2026-01-23 00:00:00,150,EA,0,,,,,대화라벨,,,1/23 Ship Send,
,150,,,,,,,,,1,EA,150,,,EA,,150,EA,0,,,,,,,,,
,42,,,,,,,,,1,EA,42,,,EA,,42,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,240,BK,,,,,,,,1,EA,240,,,EA,,240,EA,0,,,,,대화라벨,,,,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,86,,,,,,,,,1,EA,86,,,EA,,86,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",390,FREE,,,,,,,,1,EA,390,,,EA,2025-12-05 00:00:00,390,EA,0,,,,,다 남,,,12/05 Ship Send,
,410,,,,,,,,,1,EA,410,,,EA,,410,EA,0,,,,,,,,,
,128,,,,,,,,,1,EA,128,,,EA,,128,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",928,FREE,,,,,,,,1,EA,928,,,EA,2025-12-05 00:00:00,928,EA,0,,,,,본 사,,,12/05 Ship Send,
품질보증택,928,FREE,,,,,,,,1,EA,928,,,EA,,928,EA,0,,,,,,,,,
POLY BAG              폴리백(LOCAL),928,FREE,,,,,,55*90,,1,EA,928,,,EA,,928,EA,0,,,,,,,,,
