MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM107Z,,,,,,QTY,1227,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,0,0,,,,,,,,0.52,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",520,,,,,,,사각/중,,1,EA,520,,,EA,2026-07-04 00:00:00,520,EA,0,,,,,본 사,,,인천선적,
,560,,,,,,,,,1,EA,560,,,EA,,560,EA,0,,,,,,,,,
,147,,,,,,,,,1,EA,147,,,EA,,147,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어라벨
MDM-13",240,BE,,,,,,,,1,EA,240,,,EA,2026-07-04 00:00:00,240,EA,0,,,,,본 사,,,인천선적,
,260,,,,,,,,,1,EA,260,,,EA,,260,EA,0,,,,,,,,,
,50,,,,,,,,,1,EA,50,,,EA,,50,EA,0,,,,,,,,,
,280,MG,,,,,,,,1,EA,280,,,EA,,280,EA,0,,,,,,,,,
,300,,,,,,,,,1,EA,300,,,EA,,300,EA,0,,,,,,,,,
,97,,,,,,,,,1,EA,97,,,EA,,97,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",240,BE,,,,,,,,1,EA,240,,,EA,,,EA,-240,,,,,대화라벨,,,,
,260,,,,,,,,,1,EA,260,,,EA,,,EA,-260,,,,,,,,,
,50,,,,,,,,,1,EA,50,,,EA,,,EA,-50,,,,,,,,,
,280,MG,,,,,,,,1,EA,280,,,EA,,,EA,-280,,,,,,,,,
,300,,,,,,,,,1,EA,300,,,EA,,,EA,-300,,,,,,,,,
,97,,,,,,,,,1,EA,97,,,EA,,,EA,-97,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",520,FREE,,,,,,,,1,EA,520,,,EA,2026-07-04 00:00:00,520,EA,0,,,,,다 남,,,인천선적,
,560,,,,,,,,,1,EA,560,,,EA,,560,EA,0,,,,,,,,,
,147,,,,,,,,,1,EA,147,,,EA,,147,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1227,FREE,,,,,,,,1,EA,1227,,,EA,2026-07-04 00:00:00,1227,EA,0,,,,,본 사,,,인천선적,
이미지택,1227,FREE,,,,,,,,1,EA,1227,,,EA,2026-07-04 00:00:00,1227,EA,0,,,,,,,,인천선적,
"POLY BAG
폴리백(LOCAL)",1227,FREE,,,,,,46*120,,1,EA,1227,,,EA,2026-07-04 00:00:00,1227,EA,0,,,,,,,,인천선적,
