MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB66SLM131Z,,,,,,QTY,1533,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
"단 추
후다, 뒤트임",768,LK,,,,,,18MM,,,EA,0,,,EA,,,EA,0,,,,,보타니,,,,
,765,DG,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,0,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",650,,,,,,,,,1,EA,650,,,EA,2026-01-23 00:00:00,650,EA,0,,,,,본 사,,,1/23 Ship Send,
,690,,,,,,,,,1,EA,690,,,EA,,690,EA,0,,,,,,,,,
,193,,,,,,,,,1,EA,193,,,EA,,193,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"
CARE LABEL
케어/다국적
라벨
1/3",330,LK,,,,,,,,1,EA,330,,,EA,2026-01-23 00:00:00,330,EA,0,,,,,본 사,,,1/23 Ship Send,
,350,,,,,,,,,1,EA,350,,,EA,,350,EA,0,,,,,,,,,
,88,,,,,,,,,1,EA,88,,,EA,,88,EA,0,,,,,,,,,
,320,DG,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,340,,,,,,,,,1,EA,340,,,EA,,340,EA,0,,,,,,,,,
,105,,,,,,,,,1,EA,105,,,EA,,105,EA,0,,,,,,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"PRICE TAG
가격택(내수용)",330,LK,,,,,,,,1,EA,330,,,EA,2026-01-23 00:00:00,330,EA,0,,,,,대화라벨,,,1/23 Ship Send,
,350,,,,,,,,,1,EA,350,,,EA,,350,EA,0,,,,,,,,,
,88,,,,,,,,,1,EA,88,,,EA,,88,EA,0,,,,,,,,,
,320,DG,,,,,,,,1,EA,320,,,EA,,320,EA,0,,,,,,,,,
,340,,,,,,,,,1,EA,340,,,EA,,340,EA,0,,,,,,,,,
,105,,,,,,,,,1,EA,105,,,EA,,105,EA,0,,,,,대화라벨,,,,
,0,0,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",650,FREE,,,,,,,,1,EA,650,,,EA,2026-01-23 00:00:00,650,EA,0,,,,,다 남,,,1/23 Ship Send,
,690,,,,,,,,,1,EA,690,,,EA,,690,EA,0,,,,,,,,,
,193,,,,,,,,,1,EA,193,,,EA,,193,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1533,FREE,,,,,,,,1,EA,1533,,,EA,2026-01-23 00:00:00,1533,EA,0,,,,,본 사,,,1/23 Ship Send,
품질보증택,1533,FREE,,,,,,,,1,EA,1533,,,EA,,1533,EA,0,,,,,,,,,
"POLY BAG
폴리백(LOCAL)",1533,FREE,,,,,,46*120,,1,EA,1533,,,EA,,1560,EA,27,,,,,,,,,
