MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMS107A,,,,,,QTY,1346,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
LB,,230,176.0,,,,국내,406,,,,,,,,,,,,,,,,,,,,
CO,,265,220.0,,,,,485,,,,,,,,,,,,,,,,,,,,
CC,,235,220.0,,,,,455,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-02-06 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,730,616.0,0.0,0,0.0,,1346,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2025-09-02 00:00:00,,,
라벨발주 1.02%,,744.6,628.32,0.0,0,0.0,,1372.92,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
"
CARE LABEL
케어/다국적
라벨
1/3",230,LB,,,,,,,,1,EA,230,,,EA,2026-03-20 00:00:00,230,EA,0,,,,,본 사,,,"3/20 Ship Send, 6/11 에어 재발송 예정",
,176,,,,,,,,,1,EA,176,,,EA,,176,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,265,CO,,,,,,,,1,EA,265,,,EA,,265,EA,0,,,,,본 사,,,,
,220,,,,,,,,,1,EA,220,,,EA,2026-06-11 00:00:00,220,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,235,CC,,,,,,,,1,EA,235,,,EA,,235,EA,0,,,,,본 사,,,,
,220,,,,,,,,,1,EA,220,,,EA,,220,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
PRICE TAG                 가격택(내수용),230,LB,,,,,,,,1,EA,230,,,EA,2026-04-15 00:00:00,230,EA,0,,,,,대화라벨,,,04/15 Ship Send,
,176,,,,,,,,,1,EA,176,,,EA,,176,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,265,CO,,,,,,,,1,EA,265,,,EA,,265,EA,0,,,,,대화라벨,,,,
,220,,,,,,,,,1,EA,220,,,EA,,220,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,235,CC,,,,,,,,1,EA,235,,,EA,,235,EA,0,,,,,대화라벨,,,,
,220,,,,,,,,,1,EA,220,,,EA,,220,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
"SIZE STICKER                사이즈 
스티커",730,FREE,,,,,,,,1,EA,730,,,EA,2026-03-20 00:00:00,730,EA,0,,,,,대화라벨,,,3/20 Ship Send,
,616,,,,,,,,,1,EA,616,,,EA,,616,EA,0,,,,,,,,,
,0,,,,,,,,,1,EA,0,,,EA,,,EA,0,,,,,,,,,
,0,,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"TAG PIN
택고리",1346,FREE,,,,,,,,1,EA,1346,,,EA,2026-02-11 00:00:00,1346,EA,0,,,,,본 사,,,02/11 Ship Send,
품질보증택,1346,FREE,,,,,,,,1,EA,1346,,,EA,,1346,EA,0,,,,,본 사,,,,
POLY BAG              폴리백(LOCAL),1346,FREE,,,,,,60*140,,1,EA,1346,,,EA,,1346,EA,0,,,,,본 사,,,,
