MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM115Z,,,,,,QTY,"1,966 ",,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,,,,
,625 ,BR,,,,,,,,2 ,EA,1250 ,,,EA,,,EA,-1250.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,2 ,EA,1454 ,,,EA,,,EA,-1454.0 ,,,,,,,,,,,,
"속단추
BUTTON",614 ,DE,,,,,,18MM,,1 ,EA,614 ,,,EA,,,EA,-614.0 ,,,,,보타니,,,,,,,
,625 ,BR,,,,,,,,1 ,EA,625 ,,,EA,,,EA,-625.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,1 ,EA,727 ,,,EA,,,EA,-727.0 ,,,,,,,,,,,,
"레터링테이프
LETTERING TAPE",614 ,DE,,,,,,45MM,,0.56 ,YD,344 ,,,EA,,,EA,-343.8 ,,,,,하나,,,,,,,
,625 ,BR,,,,,,,,0.56 ,YD,350 ,,,EA,,,EA,-350.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,,YD,0 ,,,EA,,,EA,0.0 ,,,,,,,,,,,,
"속이밴드
E-BAND
(폴리 이중직)",614 ,DE,,,,,,45Ф,,0.40 ,YD,246 ,,,EA,,,EA,-245.6 ,,,,,하나,,,,,,,
,625 ,BR,,,,,,,,0.40 ,YD,250 ,,,EA,,,EA,-250.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,0.40 ,YD,291 ,,,EA,,,EA,-290.8 ,,,,,,,,,,,,
"이밴드
E-BAND
뒤오비",614 ,DE,,,,,,40Ф,,0.48 ,EA,295 ,,,EA,,,EA,-294.7 ,,,,,하나,,,,,,,
,625 ,BR,,,,,,,,0.48 ,EA,300 ,,,EA,,,EA,-300.0 ,,,,,,,,,,,,
,727 ,DG,,,,,,,,0.48 ,EA,349 ,,,EA,,,EA,-349.0 ,,,,,,,,,,,,
"MAIN+SIZE
LABEL
메인라벨",820 ,FREE,,,,,,사각/중,,1 ,EA,820 ,,,EA,7/18,820,EA,0 ,,,,,본 사,,,인천선적,,,,
,870 ,,,,,,,,,1 ,EA,870 ,,,EA,,870,EA,0 ,,,,,,,,,,,,
,276 ,,,,,,,,,1 ,EA,276 ,,,EA,,276,EA,0 ,,,,,,,,,,,,
,0 ,,,,,,,,,1 ,EA,0 ,,,EA,,,EA,0 ,,,,,,,,,,,,
,0 ,,,,,,,,,1 ,EA,0 ,,,EA,,,EA,0 ,,,,,,,,,,,,
"
CARE LABEL
케어라벨
MDM-13",260 ,DE,,,,,,,,1 ,EA,260 ,,,EA,7/18,260,EA,0 ,,,,,본 사,,,인천선적,,,,
,270 ,,,,,,,,,1 ,EA,270 ,,,EA,,270,EA,0 ,,,,,,,,,,,,
,84 ,,,,,,,,,1 ,EA,84 ,,,EA,,84,EA,0 ,,,,,,,,,,,,
,260 ,BR,,,,,,,,1 ,EA,260 ,,,EA,,260,EA,0 ,,,,,,,,,,,,
,280 ,,,,,,,,,1 ,EA,280 ,,,EA,,280,EA,0 ,,,,,,,,,,,,
,85 ,,,,,,,,,1 ,EA,85 ,,,EA,,85,EA,0 ,,,,,,,,,,,,
,300 ,DG,,,,,,,,1 ,EA,300 ,,,EA,,300,EA,0 ,,,,,,,,,,,,
,320 ,,,,,,,,,1 ,EA,320 ,,,EA,,320,EA,0 ,,,,,,,,,,,,
,107 ,,,,,,,,,1 ,EA,107 ,,,EA,,107,EA,0 ,,,,,,,,,,,,
"PRICE TAG
가격택(내수용)",260 ,DE,,,,,,,,1 ,EA,260 ,,,EA,,,EA,-260 ,,,,,대화라벨,,,,,,,
,270 ,,,,,,,,,1 ,EA,270 ,,,EA,,,EA,-270 ,,,,,,,,,,,,
,84 ,,,,,,,,,1 ,EA,84 ,,,EA,,,EA,-84 ,,,,,,,,,,,,
,260 ,BR,,,,,,,,1 ,EA,260 ,,,EA,,,EA,-260 ,,,,,,,,,,,,
,280 ,,,,,,,,,1 ,EA,280 ,,,EA,,,EA,-280 ,,,,,,,,,,,,
,85 ,,,,,,,,,1 ,EA,85 ,,,EA,,,EA,-85 ,,,,,대화라벨,,,,,,,
,300 ,DG,,,,,,,,1 ,EA,300 ,,,EA,,,EA,-300 ,,,,,,,,,,,,
,320 ,,,,,,,,,1 ,EA,320 ,,,EA,,,EA,-320 ,,,,,,,,,,,,
,107 ,,,,,,,,,1 ,EA,107 ,,,EA,,,EA,-107 ,,,,,,,,,,,,
"SIZE STICKER
사이즈 
스티커",820 ,FREE,,,,,,,,1 ,EA,820 ,,,EA,7/4,820,EA,0 ,,,,,다 남,,,인천선적,,,,
,870 ,,,,,,,,,1 ,EA,870 ,,,EA,,870,EA,0 ,,,,,,,,,,,,
,276 ,,,,,,,,,1 ,EA,276 ,,,EA,,276,EA,0 ,,,,,,,,,,,,
,0 ,,,,,,,,,,EA,0 ,,,EA,,,EA,0 ,,,,,,,,,,,,
"TAG PIN
택고리","1,966 ",FREE,,,,,,,,1 ,EA,"1,966 ",,,EA,7/18,1966,EA,0 ,,,,,본 사,,,인천선적,,,,
품질보증택,"1,966 ",FREE,,,,,,,,1 ,EA,"1,966 ",,,EA,,1966,EA,0 ,,,,,,,,,,,,
"POLY BAG
폴리백(LOCAL)","1,966 ",FREE,,,,,,46*120,,1 ,EA,"1,966 ",,,EA,,1966,EA,0 ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
